VCC     VCE     IC
0.000  0.000  0.000
0.020  0.020  0.000
0.039  0.020  0.020
0.059  0.020  0.039
0.078  0.039  0.039
0.098  0.039  0.059
0.117  0.039  0.078
0.137  0.039  0.098
0.156  0.059  0.098
0.176  0.059  0.117
0.195  0.059  0.137
0.215  0.059  0.156
0.234  0.059  0.176
0.254  0.059  0.195
0.273  0.078  0.195
0.293  0.078  0.215
0.313  0.078  0.234
0.332  0.078  0.254
0.352  0.078  0.273
0.371  0.078  0.293
0.391  0.078  0.313
0.410  0.078  0.332
0.430  0.078  0.352
0.449  0.078  0.371
0.469  0.078  0.391
0.488  0.078  0.410
0.508  0.098  0.410
0.527  0.098  0.430
0.547  0.098  0.449
0.566  0.098  0.469
0.586  0.098  0.488
0.605  0.098  0.508
0.625  0.098  0.527
0.645  0.098  0.547
0.664  0.098  0.566
0.684  0.098  0.586
0.703  0.098  0.605
0.723  0.098  0.625
0.742  0.098  0.645
0.762  0.098  0.664
0.781  0.098  0.684
0.801  0.098  0.703
0.820  0.098  0.723
0.840  0.117  0.723
0.859  0.117  0.742
0.879  0.117  0.762
0.898  0.117  0.781
0.918  0.117  0.801
0.938  0.117  0.820
0.957  0.117  0.840
0.977  0.117  0.859
0.996  0.117  0.879
1.016  0.117  0.898
1.035  0.117  0.918
1.055  0.117  0.938
1.074  0.117  0.957
1.094  0.117  0.977
1.113  0.117  0.996
1.133  0.117  1.016
1.152  0.117  1.035
1.172  0.117  1.055
1.191  0.117  1.074
1.211  0.117  1.094
1.230  0.117  1.113
1.250  0.117  1.133
1.270  0.117  1.152
1.289  0.137  1.152
1.309  0.137  1.172
1.328  0.137  1.191
1.348  0.137  1.211
1.367  0.137  1.230
1.387  0.137  1.250
1.406  0.137  1.270
1.426  0.137  1.289
1.445  0.137  1.309
1.465  0.137  1.328
1.484  0.137  1.348
1.504  0.137  1.367
1.523  0.137  1.387
1.543  0.137  1.406
1.563  0.137  1.426
1.582  0.137  1.445
1.602  0.137  1.465
1.621  0.137  1.484
1.641  0.137  1.504
1.660  0.137  1.523
1.680  0.137  1.543
1.699  0.137  1.563
1.719  0.137  1.582
1.738  0.137  1.602
1.758  0.137  1.621
1.777  0.137  1.641
1.797  0.156  1.641
1.816  0.156  1.660
1.836  0.156  1.680
1.855  0.156  1.699
1.875  0.156  1.719
1.895  0.156  1.738
1.914  0.156  1.758
1.934  0.156  1.777
1.953  0.156  1.797
1.973  0.156  1.816
1.992  0.156  1.836
2.012  0.156  1.855
2.031  0.156  1.875
2.051  0.156  1.895
2.070  0.156  1.914
2.090  0.156  1.934
2.109  0.156  1.953
2.129  0.156  1.973
2.148  0.156  1.992
2.168  0.156  2.012
2.188  0.156  2.031
2.207  0.176  2.031
2.227  0.176  2.051
2.246  0.176  2.070
2.266  0.176  2.090
2.285  0.176  2.109
2.305  0.176  2.129
2.324  0.176  2.148
2.344  0.176  2.168
2.363  0.176  2.188
2.383  0.176  2.207
2.402  0.176  2.227
2.422  0.176  2.246
2.441  0.176  2.266
2.461  0.176  2.285
2.480  0.176  2.305
2.500  0.195  2.305
2.520  0.195  2.324
2.539  0.195  2.344
2.559  0.195  2.363
2.578  0.195  2.383
2.598  0.195  2.402
2.617  0.195  2.422
2.637  0.195  2.441
2.656  0.195  2.461
2.676  0.195  2.480
2.695  0.215  2.480
2.715  0.215  2.500
2.734  0.215  2.520
2.754  0.215  2.539
